id,slug,owner_id,title,summary,description,category,tech_stack,looking_for_roles,cover,status,max_members,is_public,created_at,updated_at
156,food-label-reading-aid,3d016498-e16a-5ad9-95c7-b633dfc6a142,Food label reading aid,Help students compare the information printed on food labels.,"Help students compare the information printed on food labels.

Scope
Explain units without giving personalised dietary advice.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Ritesh Poudel: research partner
James Rangi: research partner

Fictional student project for the CoLearn demo.",HealthTech,"[""Excel"",""User Research"",""Data Visualization""]",[],,completed,3,true,2026-07-19T07:30:00+00:00,2026-08-07T07:30:00+00:00
157,campus-step-free-audit,f22a7317-9c2b-5d13-99b9-1a1622094bb3,Campus step-free audit,"Organise a volunteer audit of ramps, entrances and lifts.","Organise a volunteer audit of ramps, entrances and lifts.

Scope
Keep audit findings separate from verified access information.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Tashi Wangchuk: product designer
Naomi Brooks: frontend developer

Fictional student project for the CoLearn demo.",Social Impact,"[""Figma"",""User Research"",""Accessibility""]",[],,completed,4,true,2026-07-04T14:30:00+00:00,2026-07-26T14:30:00+00:00
158,tide-cleanup-planner,4cf03b5a-e2ca-57f2-95b8-16a3b92247e6,Tide cleanup planner,Help a small coastal cleanup team plan equipment and meeting points.,"Help a small coastal cleanup team plan equipment and meeting points.

Scope
Weather and tide checks remain external and need a visible source date.

Intermediate: a tested prototype with a few cooperating parts.

We are still checking the scope before building.

Team contributions
Sonam Lhamo: gis contributor
Kavya Reddy: frontend developer
Dewi Lestari: product designer
Ethan Lim: frontend developer

Fictional student project for the CoLearn demo.",Climate,"[""QGIS"",""Statistics"",""Technical Writing""]","[""Content designer""]",,idea,5,true,2026-08-11T18:30:00+00:00,2026-09-14T10:30:00+00:00
159,neighbourhood-sound-diary,1767869f-381f-59b9-acac-01da2d539e40,Neighbourhood sound diary,Visualise sound-level readings collected during a class exercise.,"Visualise sound-level readings collected during a class exercise.

Scope
Keep no audio recordings or precise home locations.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Ishita Kulkarni: hardware builder
Tomás Benítez: product designer
Salma Adel: research partner
Efua Osei: research partner
Malik Thompson: security reviewer

Fictional student project for the CoLearn demo.",Research,"[""Python"",""Arduino"",""Git""]",[],,completed,7,true,2026-07-02T19:30:00+00:00,2026-07-23T19:30:00+00:00
160,shared-camera-bookings,eb397f92-99ac-5f0f-8f81-3540865f0477,Shared camera bookings,Book a student club's cameras without double-booking equipment.,"Book a student club's cameras without double-booking equipment.

Scope
A late return should flag the next booking rather than cancel it silently.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Nguyễn Khánh An: backend developer
Su-bin Choi: research partner
Layan Al Harbi: product designer
Brian Otieno: backend developer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,active,6,true,2026-08-24T05:30:00+00:00,2026-09-12T10:30:00+00:00
161,small-museum-audio-guide,25797954-b022-582e-8349-e1e2c141368c,Small museum audio guide,Create short original audio descriptions for a student exhibition.,"Create short original audio descriptions for a student exhibition.

Scope
Use original scripts and transcripts; do not assume visitors can hear audio.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Trần Gia Huy: motion designer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Blender"",""Video Editing"",""Figma""]","[""Full-stack developer""]",,active,2,true,2026-08-21T03:30:00+00:00,2026-09-18T10:30:00+00:00
162,accessible-chart-gallery,1bc15434-bc22-56cc-a890-336efd2a11e5,Accessible chart gallery,Compare ways to show the same dataset accessibly.,"Compare ways to show the same dataset accessibly.

Scope
Every chart includes a data table and a short written takeaway.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Kavya Reddy: frontend developer
Wang Zihan: backend developer
Thando Nkosi: backend developer
Siriporn Saelim: product designer

Fictional student project for the CoLearn demo.",Web Development,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]",[],,completed,7,true,2026-06-28T03:30:00+00:00,2026-07-15T03:30:00+00:00
163,study-snack-preorders,6ab0c42d-0ad5-5b3d-9c6c-4ab9eaa47586,Study snack preorders,Plan quantities for a student fundraiser using non-binding interest forms.,"Plan quantities for a student fundraiser using non-binding interest forms.

Scope
No card data or payments; organisers confirm orders offline.

Beginner: a small working flow before adding extra features.

We are still checking the scope before building.

Team contributions
Haruka Fujimoto: research partner
Chloe Goh: research partner
Zoya Ansari: research partner
Mateo Rivera: research partner

Fictional student project for the CoLearn demo.",Business,"[""Excel"",""Content Strategy"",""Market Research""]","[""Motion designer""]",,idea,7,true,2026-07-20T20:30:00+00:00,2026-09-16T10:30:00+00:00
164,second-hand-desk-finder,e0b64119-ecb0-52a5-852d-39c211ce337a,Second-hand desk finder,List desks and chairs being given away when students move.,"List desks and chairs being given away when students move.

Scope
Use approximate collection areas and remove stale listings.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Nur Izzati Abdullah: mobile developer
Sofia Virtanen: ml contributor
Sahana Rao: backend developer

Fictional student project for the CoLearn demo.",Community,"[""Flutter"",""Dart"",""Git""]","[""ML contributor""]",,active,6,true,2026-08-13T15:30:00+00:00,2026-09-15T10:30:00+00:00
165,group-assignment-ledger,302b84f9-9053-5cf7-bed0-305678227875,Group assignment ledger,Record which parts of a group assignment each person worked on.,"Record which parts of a group assignment each person worked on.

Scope
Track agreed contributions without turning them into a competitive score.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

We are still checking the scope before building.

Team contributions
Dechen Dema: full-stack developer
Léa Fournier: full-stack developer
Ethan Lim: frontend developer
Omar Hassan: backend developer
Tasnim Sultana: hardware builder
Ishita Kulkarni: hardware builder

Fictional student project for the CoLearn demo.",Productivity,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]","[""Hardware builder""]",,idea,8,true,2026-08-09T19:30:00+00:00,2026-09-14T10:30:00+00:00
166,methods-flashcards,a2cc3818-be31-5aeb-828c-e23f579431aa,Methods flashcards,Practice choosing a research method for a short scenario.,"Practice choosing a research method for a short scenario.

Scope
Keep explanations with the cards so wrong answers teach something.

Beginner: a small working flow before adding extra features.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Kavitha Rajan: data analyst
Haruka Fujimoto: research partner
Nguyễn Khánh An: backend developer
Pedro Nascimento: data analyst
Sumaiya Akter: frontend developer

Fictional student project for the CoLearn demo.",Research,"[""Python"",""SQL"",""Data Visualization""]",[],,archived,6,true,2026-07-01T17:30:00+00:00,2026-07-21T17:30:00+00:00
167,lab-error-notebook,20b63262-d3e6-555a-95b2-84fc87694a19,Lab error notebook,Collect mistakes from practical sessions and how the team diagnosed them.,"Collect mistakes from practical sessions and how the team diagnosed them.

Scope
Use anonymised examples and keep the original error text searchable.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Grace Nguyen: backend developer
Maja Wiśniewska: backend developer
Sumaiya Akter: frontend developer

Fictional student project for the CoLearn demo.",EdTech,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,active,6,true,2026-08-18T20:30:00+00:00,2026-09-12T10:30:00+00:00
168,flood-alert-explainer,ae96d203-7a11-52ed-9e02-cd93c3dda603,Flood alert explainer,Explain the terms used in public flood bulletins for a class project.,"Explain the terms used in public flood bulletins for a class project.

Scope
Link to official bulletins and never publish independent emergency advice.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Wei Jun Ong: content designer
Lucía Navarro: product designer

Fictional student project for the CoLearn demo.",Social Impact,"[""Figma"",""Content Strategy"",""Photography""]",[],,completed,3,true,2026-07-10T17:30:00+00:00,2026-08-04T17:30:00+00:00
169,workshop-cost-calculator,8819cb55-67e6-5a55-98c8-d80446975a9e,Workshop cost calculator,Estimate material costs for a student-run craft workshop.,"Estimate material costs for a student-run craft workshop.

Scope
Show fixed costs separately from costs per participant.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Chloe Goh: research partner
Lotte Visser: motion designer
Efua Osei: research partner
Wang Zihan: backend developer
Ruby Fletcher: frontend developer

Fictional student project for the CoLearn demo.",Business,"[""Excel"",""Content Strategy"",""Market Research""]","[""Motion designer""]",,active,7,true,2026-08-24T18:30:00+00:00,2026-09-17T10:30:00+00:00
170,recycling-label-classifier,d0c58825-6ead-50f6-9a07-f2f95dbb51ea,Recycling label classifier,Compare simple image classifiers on a small labelled packaging dataset.,"Compare simple image classifiers on a small labelled packaging dataset.

Scope
Show uncertain predictions and record class imbalance.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Mei Xuan Chew: ml contributor
Noor de Vries: research partner
Regina Flores: frontend developer
Kavya Reddy: frontend developer
Chloe Goh: research partner

Fictional student project for the CoLearn demo.",Machine Learning,"[""Python"",""Machine Learning"",""Statistics""]","[""Research partner""]",,active,6,true,2026-07-25T03:30:00+00:00,2026-09-16T10:30:00+00:00
171,public-transport-delay-charts,95927b04-f214-5c26-878d-fb55176e41bc,Public transport delay charts,Plot delays from a small public transport sample.,"Plot delays from a small public transport sample.

Scope
Distinguish cancelled trips from missing records.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

We are still checking the scope before building.

Team contributions
Intan Permata: data analyst
Sahana Rao: backend developer

Fictional student project for the CoLearn demo.",Data Science,"[""Python"",""SQL"",""Data Visualization""]","[""Research partner""]",,idea,5,true,2026-08-16T04:30:00+00:00,2026-09-15T10:30:00+00:00
172,personal-data-export-viewer,43a3bb15-e7a6-5c42-a198-3e0d7f080ba1,Personal data export viewer,Inspect a fictional app's data export and explain each field.,"Inspect a fictional app's data export and explain each field.

Scope
Open files locally and avoid uploading real personal exports.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Sophie Chen: security reviewer
Sander Berg: frontend developer
Kelechi Nnamdi: product designer

Fictional student project for the CoLearn demo.",Cybersecurity,"[""Linux"",""Python"",""Networking""]","[""Database developer""]",,active,6,true,2026-07-02T05:30:00+00:00,2026-09-14T10:30:00+00:00
173,code-review-warmups,a60d0128-bffa-5d2d-9915-36693e6bc3ba,Code review warmups,Practice reviewing small intentionally flawed code examples.,"Practice reviewing small intentionally flawed code examples.

Scope
Explain trade-offs and accept more than one reasonable solution.

Intermediate: a tested prototype with a few cooperating parts.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Niamh Byrne: full-stack developer
Maia Wilson: hardware builder
Kwame Boateng: hardware builder
Ishita Kulkarni: hardware builder
Hamad Al Qasimi: hardware builder
Chloe Goh: research partner

Fictional student project for the CoLearn demo.",EdTech,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]",[],,completed,7,true,2026-07-09T19:30:00+00:00,2026-08-04T19:30:00+00:00
174,club-archive-timeline,7bdf8ad6-1318-5f74-9112-e2b655e215a2,Club archive timeline,Build a timeline from a club's public posters and original event notes.,"Build a timeline from a club's public posters and original event notes.

Scope
Only use images with permission and include captions.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Freya Collins: content designer
Zeynep Şahin: product designer
Haruka Fujimoto: research partner
Grace Nguyen: backend developer

Fictional student project for the CoLearn demo.",Community,"[""Figma"",""Content Strategy"",""Photography""]","[""Frontend developer""]",,active,6,true,2026-07-10T00:30:00+00:00,2026-09-12T10:30:00+00:00
175,laptop-loan-desk,7624f38b-fbca-546f-af04-c9dda9318f82,Laptop loan desk,Help volunteers track donated laptops ready for loan.,"Help volunteers track donated laptops ready for loan.

Scope
Use fictional asset data and avoid storing borrower identity documents.

Beginner: a small working flow before adding extra features.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Beatriz Sousa: database developer
Inês Costa: backend developer

Fictional student project for the CoLearn demo.",Social Impact,"[""SQL"",""PostgreSQL"",""Data Modeling"",""React""]",[],,archived,4,true,2026-07-31T22:30:00+00:00,2026-08-23T22:30:00+00:00
176,pollinator-count-map,d2a70bca-a25c-522f-9b7e-c967b69503cc,Pollinator count map,Map pollinator observations from a student field exercise.,"Map pollinator observations from a student field exercise.

Scope
Location accuracy varies, and observations are not species certifications.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Sanne van Dijk: gis contributor
Thando Nkosi: backend developer
Inês Costa: backend developer
Sumaiya Akter: frontend developer
Maja Schneider: gis contributor

Fictional student project for the CoLearn demo.",Climate,"[""QGIS"",""Statistics"",""Technical Writing""]","[""Content designer""]",,active,6,true,2026-08-15T18:30:00+00:00,2026-09-17T10:30:00+00:00
177,local-language-quiz-pack,e747fee0-a84b-5f51-98a3-7481903c9023,Local language quiz pack,Create an offline quiz from volunteer-written vocabulary examples.,"Create an offline quiz from volunteer-written vocabulary examples.

Scope
Keep regional variants visible instead of marking them wrong.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Hannah Richter: mobile developer
Thea Nilsen: research partner
Alva Lindberg: research partner
Isabel Santos: backend developer

Fictional student project for the CoLearn demo.",EdTech,"[""Flutter"",""Dart"",""Git""]","[""ML contributor""]",,active,6,true,2026-08-26T02:30:00+00:00,2026-09-16T10:30:00+00:00
178,tiny-accessibility-backlog,5421f79d-ed60-5eed-852b-01b379adab9e,Tiny accessibility backlog,Turn an accessibility review into a manageable task list.,"Turn an accessibility review into a manageable task list.

Scope
Separate automated findings from checks that require a person.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Chiara Moretti: product designer
Regina Flores: frontend developer

Fictional student project for the CoLearn demo.",Developer Tools,"[""Figma"",""User Research"",""Accessibility""]","[""Data analyst""]",,active,4,true,2026-08-04T19:30:00+00:00,2026-09-15T10:30:00+00:00
179,student-zine-shelf,610e9654-06d6-5e55-959b-377b8749b8f9,Student zine shelf,Show original digital zines with clear reading order and credits.,"Show original digital zines with clear reading order and credits.

Scope
Provide text alternatives and avoid collecting reader analytics.

Intermediate: a tested prototype with a few cooperating parts.

Paused while the team is on placements. The current work is saved for a later handover.

Team contributions
Kacper Zieliński: motion designer
Niamh Byrne: full-stack developer
Naomi Brooks: frontend developer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Blender"",""Video Editing"",""Figma""]",[],,archived,5,true,2026-08-20T23:30:00+00:00,2026-09-17T23:30:00+00:00
180,water-refill-notes,54561bf4-fe37-5b37-934d-9c7f81542f8b,Water refill notes,Track reported water refill points around public buildings.,"Track reported water refill points around public buildings.

Scope
Reports need a recent check; never infer drinking-water safety.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Róisín Doyle: hardware builder
Tashi Wangchuk: product designer
Su-bin Choi: research partner

Fictional student project for the CoLearn demo.",Climate,"[""Python"",""Arduino"",""Git""]",[],,completed,5,true,2026-07-08T09:30:00+00:00,2026-07-28T09:30:00+00:00
181,scholarship-document-checklist,ef763ec1-f93c-5744-9640-4ca59adf9347,Scholarship document checklist,Help applicants track which documents they have prepared.,"Help applicants track which documents they have prepared.

Scope
Store checklist state, not passports, bank records or scholarship decisions.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Mikkel Jensen: content designer
Sagar Tamang: research partner

Fictional student project for the CoLearn demo.",Productivity,"[""Figma"",""Content Strategy"",""Photography""]",[],,completed,5,true,2026-08-19T17:30:00+00:00,2026-09-06T17:30:00+00:00
182,peer-tutoring-session-notes,3bc3e38a-5ff7-5330-ab2d-8add18e85d57,Peer tutoring session notes,Write a short recap of a tutoring session and the next exercise.,"Write a short recap of a tutoring session and the next exercise.

Scope
Use fictional learners and avoid diagnostic labels.

Intermediate: a tested prototype with a few cooperating parts.

We are still checking the scope before building.

Team contributions
Jakub Nowak: research partner
Wang Zihan: backend developer
Dewi Lestari: product designer

Fictional student project for the CoLearn demo.",EdTech,"[""Excel"",""User Research"",""Data Visualization""]","[""GIS contributor""]",,idea,6,true,2026-08-18T15:30:00+00:00,2026-09-18T10:30:00+00:00
183,markdown-lab-report-builder,da462241-608b-5422-bdbd-0d98184a433d,Markdown lab report builder,Turn structured experiment notes into a readable Markdown draft.,"Turn structured experiment notes into a readable Markdown draft.

Scope
Keep measurements unchanged and label generated section headings.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Pablo Romero: full-stack developer
Onni Nieminen: frontend developer
Layan Al Harbi: product designer
Sahana Rao: backend developer
Do-yun Lee: frontend developer

Fictional student project for the CoLearn demo.",Research,"[""TypeScript"",""React"",""Node.js"",""PostgreSQL""]","[""Hardware builder""]",,active,6,true,2026-08-20T20:30:00+00:00,2026-09-17T10:30:00+00:00
184,classroom-air-diary,2e2e8079-6c9e-51c9-bc7e-1475045fd514,Classroom air diary,Graph CO2 readings from a classroom sensor prototype.,"Graph CO2 readings from a classroom sensor prototype.

Scope
Show calibration notes and missing readings without health guarantees.

Beginner: a small working flow before adding extra features.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Emil Larsen: hardware builder
Ren Takahashi: security reviewer
Kritika Joshi: backend developer
Wang Zihan: backend developer
Kofi Asante: frontend developer

Fictional student project for the CoLearn demo.",Climate,"[""Python"",""Arduino"",""Git""]",[],,completed,7,true,2026-06-30T04:30:00+00:00,2026-07-19T04:30:00+00:00
185,freelance-scope-worksheet,d5dc7189-89df-5fd7-983f-1124b6de3d68,Freelance scope worksheet,Help students write a small project scope before agreeing to work.,"Help students write a small project scope before agreeing to work.

Scope
No legal templates; focus on deliverables, revisions and assumptions.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Sara Koskinen: research partner
Thea Nilsen: research partner

Fictional student project for the CoLearn demo.",Business,"[""Excel"",""Content Strategy"",""Market Research""]","[""Motion designer""]",,active,5,true,2026-08-08T23:30:00+00:00,2026-09-15T10:30:00+00:00
186,mutual-aid-pickup-rota,40120057-c43a-5745-9d3a-d9b0c6b1e84e,Mutual aid pickup rota,Coordinate collection shifts for a student mutual-aid group.,"Coordinate collection shifts for a student mutual-aid group.

Scope
Keep recipient details out of shared schedules.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

The first flow is being built and tested around coursework.

Team contributions
Brian Otieno: backend developer
Kavya Reddy: frontend developer
Kelechi Nnamdi: product designer
Yanis Benali: product designer

Fictional student project for the CoLearn demo.",Social Impact,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,active,6,true,2026-07-19T22:30:00+00:00,2026-09-14T10:30:00+00:00
187,book-club-question-cards,cd8c4c60-ab9b-5cf3-996e-d4fbb990f4c6,Book club question cards,Collect original questions for a small reading group.,"Collect original questions for a small reading group.

Scope
Reference chapters without copying the text of the book.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Naomi Brooks: frontend developer
Su-bin Choi: research partner
Sara Koskinen: research partner

Fictional student project for the CoLearn demo.",Community,"[""React"",""JavaScript"",""CSS"",""PostgreSQL""]","[""Backend developer""]",,active,6,true,2026-07-13T08:30:00+00:00,2026-09-13T10:30:00+00:00
188,photo-walk-contact-sheets,3d5b480d-3962-5c76-96ca-5459d65372aa,Photo walk contact sheets,Arrange a photographer's selected images into printable contact sheets.,"Arrange a photographer's selected images into printable contact sheets.

Scope
Use self-made sample images and retain captions.

Intermediate: a tested prototype with a few cooperating parts.

The scoped prototype is complete; the handover notes explain its limits.

Team contributions
Naledi Molefe: motion designer
Omar Mostafa: frontend developer
Tiago Almeida: motion designer
Niamh Byrne: full-stack developer
Pablo Romero: full-stack developer

Fictional student project for the CoLearn demo.",Creative Technology,"[""Blender"",""Video Editing"",""Figma""]",[],,completed,6,true,2026-08-12T02:30:00+00:00,2026-09-01T02:30:00+00:00
189,api-permission-playground,4ec67eb8-4fda-5cbc-bbd1-a6afc7ce8130,API permission playground,Demonstrate who can read and change fictional shared records.,"Demonstrate who can read and change fictional shared records.

Scope
Use isolated sample records and show why a denied request failed.

Advanced: concurrency, offline behaviour, or data quality needs careful testing.

We are still checking the scope before building.

Team contributions
Malik Thompson: security reviewer
Maja Wiśniewska: backend developer
Sumaiya Akter: frontend developer
Kofi Asante: frontend developer
Sipho Dlamini: security reviewer
Zeynep Şahin: product designer

Fictional student project for the CoLearn demo.",Cybersecurity,"[""Linux"",""Python"",""Networking""]","[""Database developer""]",,idea,8,true,2026-06-30T09:30:00+00:00,2026-09-18T10:30:00+00:00
190,field-survey-cleaning-log,facb4557-eabe-5f8b-89cc-f223b91c89b7,Field survey cleaning log,Record decisions made while cleaning a class survey dataset.,"Record decisions made while cleaning a class survey dataset.

Scope
Do not silently replace missing values or modify the raw file.

Beginner: a small working flow before adding extra features.

The first flow is being built and tested around coursework.

Team contributions
Pedro Nascimento: data analyst
James Rangi: research partner
Sahana Rao: backend developer
Do-yun Lee: frontend developer

Fictional student project for the CoLearn demo.",Data Science,"[""Python"",""SQL"",""Data Visualization""]","[""Research partner""]",,active,7,true,2026-08-24T23:30:00+00:00,2026-09-17T10:30:00+00:00
191,study-room-booking-replay,001e944b-e64e-5742-afb7-5e04327e41ee,Study room booking replay,Replay fictional booking events to understand race conditions.,"Replay fictional booking events to understand race conditions.

Scope
The exercise never connects to a real booking system.

Intermediate: a tested prototype with a few cooperating parts.

The first flow is being built and tested around coursework.

Team contributions
Kritika Joshi: backend developer
Sander Berg: frontend developer
Zoya Ansari: research partner
Dewi Lestari: product designer
Mariana Silva: product designer

Fictional student project for the CoLearn demo.",Web Development,"[""Python"",""Django"",""PostgreSQL"",""React""]","[""Product designer""]",,active,7,true,2026-07-14T14:30:00+00:00,2026-09-16T10:30:00+00:00
